mapping_id,business_domain,source_system,source_table,source_field,target_object,target_field,data_type,criticality,mapping_complexity,transformation_rule,lineage_path,signoff_status,owner_group,google_sheet_tab
MAP-04-08,Payments,Billing Platform,PAYMENT_TXN,batch_id,PAYMENT_FACT,source_batch_id,boolean,High,Derived,preserve source batch identifier,Billing Platform > staging.payment_txn > load_ready.payment_fact > core.payment_fact,Approved,Finance,Payment STTM
MAP-05-01,Work Orders,Field Service,WO_HEADER,work_order_id,WORK_ORDER_FACT,work_order_key,boolean,Critical,Lookup,hash work order id,Field Service > staging.wo_header > load_ready.work_order_fact > core.work_order_fact,Pending business sign-off,Operations,Work Order STTM
MAP-05-02,Work Orders,Field Service,WO_HEADER,customer_id,WORK_ORDER_FACT,customer_key,boolean,Critical,Derived,lookup customer dimension key,Field Service > staging.wo_header > load_ready.work_order_fact > core.work_order_fact,Approved,Operations,Work Order STTM
MAP-05-03,Work Orders,Field Service,WO_HEADER,asset_id,WORK_ORDER_FACT,asset_key,number,Medium,Reference decode,lookup active asset key,Field Service > staging.wo_header > load_ready.work_order_fact > core.work_order_fact,Approved,Operations,Work Order STTM
MAP-05-04,Work Orders,Field Service,WO_HEADER,opened_ts,WORK_ORDER_FACT,opened_at,varchar,Medium,Currency conversion,convert local timestamp to UTC,Field Service > staging.wo_header > load_ready.work_order_fact > core.work_order_fact,Approved,Operations,Work Order STTM
MAP-05-05,Work Orders,Field Service,WO_HEADER,closed_ts,WORK_ORDER_FACT,closed_at,number,Critical,Direct,convert local timestamp to UTC,Field Service > staging.wo_header > load_ready.work_order_fact > core.work_order_fact,Needs data owner decision,Operations,Work Order STTM
MAP-05-06,Work Orders,Field Service,WO_HEADER,priority_cd,WORK_ORDER_FACT,priority,timestamp,Medium,Lookup,decode priority reference table,Field Service > staging.wo_header > load_ready.work_order_fact > core.work_order_fact,Needs data owner decision,Operations,Work Order STTM
MAP-05-07,Work Orders,Field Service,WO_HEADER,labor_hours,WORK_ORDER_FACT,labor_hours,boolean,Medium,Derived,cast decimal with two places,Field Service > staging.wo_header > load_ready.work_order_fact > core.work_order_fact,Approved,Operations,Work Order STTM
MAP-05-08,Work Orders,Field Service,WO_HEADER,resolution_cd,WORK_ORDER_FACT,resolution_code,boolean,Medium,Reference decode,default missing close codes to unresolved,Field Service > staging.wo_header > load_ready.work_order_fact > core.work_order_fact,Pending business sign-off,Operations,Work Order STTM
MAP-06-01,Asset Register,Asset ERP,ASSET_MASTER,asset_id,ASSET_DIM,asset_key,varchar,Critical,Derived,hash asset id,Asset ERP > staging.asset_master > load_ready.asset_dim > core.asset_dim,Needs data owner decision,Asset Accounting,Asset STTM
MAP-06-02,Asset Register,Asset ERP,ASSET_MASTER,serial_num,ASSET_DIM,serial_number,varchar,Critical,Reference decode,trim and uppercase,Asset ERP > staging.asset_master > load_ready.asset_dim > core.asset_dim,Pending business sign-off,Asset Accounting,Asset STTM
MAP-06-03,Asset Register,Asset ERP,ASSET_MASTER,install_dt,ASSET_DIM,install_date,date,Medium,Currency conversion,cast to date,Asset ERP > staging.asset_master > load_ready.asset_dim > core.asset_dim,Pending business sign-off,Asset Accounting,Asset STTM
MAP-06-04,Asset Register,Asset ERP,ASSET_MASTER,retire_dt,ASSET_DIM,retirement_date,date,Medium,Direct,cast to date when populated,Asset ERP > staging.asset_master > load_ready.asset_dim > core.asset_dim,Approved,Asset Accounting,Asset STTM
MAP-06-05,Asset Register,Asset ERP,ASSET_MASTER,book_value,ASSET_DIM,book_value_usd,timestamp,Critical,Lookup,convert currency using close rate,Asset ERP > staging.asset_master > load_ready.asset_dim > core.asset_dim,Approved,Asset Accounting,Asset STTM
MAP-06-06,Asset Register,Asset ERP,ASSET_MASTER,asset_class,ASSET_DIM,asset_class,date,High,Derived,map to target reference values,Asset ERP > staging.asset_master > load_ready.asset_dim > core.asset_dim,Needs data owner decision,Asset Accounting,Asset STTM
MAP-06-07,Asset Register,Asset ERP,ASSET_MASTER,location_id,ASSET_DIM,location_key,boolean,Medium,Reference decode,lookup target location key,Asset ERP > staging.asset_master > load_ready.asset_dim > core.asset_dim,Needs data owner decision,Asset Accounting,Asset STTM
MAP-06-08,Asset Register,Asset ERP,ASSET_MASTER,depr_method,ASSET_DIM,depreciation_method,date,Medium,Currency conversion,standardize depreciation method code,Asset ERP > staging.asset_master > load_ready.asset_dim > core.asset_dim,Needs data owner decision,Asset Accounting,Asset STTM
