finding_id,mapping_id,severity,issue_type,sql_check,observed_signal,root_cause,business_impact,owner_group,status,aging_days
DQ-016,MAP-02-05,Low,Row count variance,AUD-02-05_row_count_variance,count parity failed between load-ready file and target table,Business rule not approved in mapping workbook,Stakeholder review requires exception note,Procurement,Open,8
DQ-017,MAP-02-05,Low,Null drift,AUD-02-05_null_drift,target required field has higher null rate than approved mapping,Reference lookup uses stale code set,Downstream validation file cannot be certified,Procurement,In review,8
DQ-018,MAP-02-06,Low,Value variance,AUD-02-06_value_variance,numeric or date values do not match after transformation,Source extract filter excludes inactive records,Development team needs clarified transformation rule,Procurement,In review,11
DQ-019,MAP-02-07,Medium,Row count variance,AUD-02-07_row_count_variance,count parity failed between load-ready file and target table,Destination load deduplicates on the wrong business key,Destination report would overstate converted volume,Procurement,In review,3
DQ-020,MAP-02-07,Medium,Null drift,AUD-02-07_null_drift,target required field has higher null rate than approved mapping,Business rule not approved in mapping workbook,Stakeholder review requires exception note,Procurement,Open,7
DQ-021,MAP-03-01,Low,Row count variance,AUD-03-01_row_count_variance,count parity failed between load-ready file and target table,Business rule not approved in mapping workbook,Stakeholder review requires exception note,Legal Ops,Ready for retest,1
DQ-022,MAP-03-01,Low,Null drift,AUD-03-01_null_drift,target required field has higher null rate than approved mapping,Source extract filter excludes inactive records,Development team needs clarified transformation rule,Legal Ops,Open,14
DQ-023,MAP-03-02,Low,Row count variance,AUD-03-02_row_count_variance,count parity failed between load-ready file and target table,Destination load deduplicates on the wrong business key,Destination report would overstate converted volume,Legal Ops,Open,5
DQ-024,MAP-03-02,Low,Duplicate business key,AUD-03-02_duplicate_business_key,business key repeats after transformation logic,Destination load deduplicates on the wrong business key,Downstream validation file cannot be certified,Legal Ops,Open,8
DQ-025,MAP-03-04,Low,Row count variance,AUD-03-04_row_count_variance,count parity failed between load-ready file and target table,Transformation rule handles nulls differently than STTM,Downstream validation file cannot be certified,Legal Ops,In review,5
DQ-026,MAP-03-04,Low,Null drift,AUD-03-04_null_drift,target required field has higher null rate than approved mapping,Destination load deduplicates on the wrong business key,Downstream validation file cannot be certified,Legal Ops,Open,8
DQ-027,MAP-03-05,Low,Row count variance,AUD-03-05_row_count_variance,count parity failed between load-ready file and target table,Source extract filter excludes inactive records,Stakeholder review requires exception note,Legal Ops,Open,6
DQ-028,MAP-03-05,Low,Reference miss,AUD-03-05_reference_miss,foreign key lookup failed against target dimension,Reference lookup uses stale code set,Sign-off at risk for UAT cycle,Legal Ops,Ready for retest,1
DQ-029,MAP-03-07,Low,Mapping ambiguity,AUD-03-07_mapping_ambiguity,business rule needs stakeholder decision before sign-off,Source extract filter excludes inactive records,Destination report would overstate converted volume,Legal Ops,Open,14
DQ-030,MAP-04-04,Low,Reference miss,AUD-04-04_reference_miss,foreign key lookup failed against target dimension,Source extract filter excludes inactive records,Stakeholder review requires exception note,Finance,Open,4
DQ-031,MAP-04-06,Low,Row count variance,AUD-04-06_row_count_variance,count parity failed between load-ready file and target table,Reference lookup uses stale code set,Development team needs clarified transformation rule,Finance,Ready for retest,2
DQ-032,MAP-04-06,Low,Null drift,AUD-04-06_null_drift,target required field has higher null rate than approved mapping,Business rule not approved in mapping workbook,Destination report would overstate converted volume,Finance,In review,12
DQ-033,MAP-04-07,Low,Row count variance,AUD-04-07_row_count_variance,count parity failed between load-ready file and target table,Transformation rule handles nulls differently than STTM,Downstream validation file cannot be certified,Finance,Open,10
DQ-034,MAP-04-07,Low,Duplicate business key,AUD-04-07_duplicate_business_key,business key repeats after transformation logic,Business rule not approved in mapping workbook,Sign-off at risk for UAT cycle,Finance,Open,5
DQ-035,MAP-04-08,Low,Reference miss,AUD-04-08_reference_miss,foreign key lookup failed against target dimension,Source extract filter excludes inactive records,Stakeholder review requires exception note,Finance,Open,5
DQ-036,MAP-05-01,Low,Duplicate business key,AUD-05-01_duplicate_business_key,business key repeats after transformation logic,Business rule not approved in mapping workbook,Development team needs clarified transformation rule,Operations,In review,12
DQ-037,MAP-05-01,Low,Value variance,AUD-05-01_value_variance,numeric or date values do not match after transformation,Reference lookup uses stale code set,Sign-off at risk for UAT cycle,Operations,Ready for retest,12
DQ-038,MAP-05-04,Low,Reference miss,AUD-05-04_reference_miss,foreign key lookup failed against target dimension,Reference lookup uses stale code set,Sign-off at risk for UAT cycle,Operations,Ready for retest,13
DQ-039,MAP-05-05,Low,Row count variance,AUD-05-05_row_count_variance,count parity failed between load-ready file and target table,Transformation rule handles nulls differently than STTM,Stakeholder review requires exception note,Operations,Open,13
DQ-040,MAP-05-05,Low,Null drift,AUD-05-05_null_drift,target required field has higher null rate than approved mapping,Business rule not approved in mapping workbook,Sign-off at risk for UAT cycle,Operations,In review,9
DQ-041,MAP-05-06,Low,Duplicate business key,AUD-05-06_duplicate_business_key,business key repeats after transformation logic,Destination load deduplicates on the wrong business key,Downstream validation file cannot be certified,Operations,Open,9
DQ-042,MAP-05-06,Low,Reference miss,AUD-05-06_reference_miss,foreign key lookup failed against target dimension,Transformation rule handles nulls differently than STTM,Sign-off at risk for UAT cycle,Operations,In review,14
DQ-043,MAP-05-08,Low,Mapping ambiguity,AUD-05-08_mapping_ambiguity,business rule needs stakeholder decision before sign-off,Destination load deduplicates on the wrong business key,Sign-off at risk for UAT cycle,Operations,In review,6
DQ-044,MAP-06-01,Low,Row count variance,AUD-06-01_row_count_variance,count parity failed between load-ready file and target table,Destination load deduplicates on the wrong business key,Destination report would overstate converted volume,Asset Accounting,In review,3
DQ-045,MAP-06-01,Low,Null drift,AUD-06-01_null_drift,target required field has higher null rate than approved mapping,Business rule not approved in mapping workbook,Downstream validation file cannot be certified,Asset Accounting,Ready for retest,13
DQ-046,MAP-06-02,Low,Reference miss,AUD-06-02_reference_miss,foreign key lookup failed against target dimension,Business rule not approved in mapping workbook,Development team needs clarified transformation rule,Asset Accounting,In review,7
DQ-047,MAP-06-02,Low,Mapping ambiguity,AUD-06-02_mapping_ambiguity,business rule needs stakeholder decision before sign-off,Business rule not approved in mapping workbook,Downstream validation file cannot be certified,Asset Accounting,In review,14
DQ-048,MAP-06-03,Low,Row count variance,AUD-06-03_row_count_variance,count parity failed between load-ready file and target table,Reference lookup uses stale code set,Sign-off at risk for UAT cycle,Asset Accounting,In review,8
DQ-049,MAP-06-03,Low,Mapping ambiguity,AUD-06-03_mapping_ambiguity,business rule needs stakeholder decision before sign-off,Reference lookup uses stale code set,Development team needs clarified transformation rule,Asset Accounting,Ready for retest,10
DQ-050,MAP-06-04,Low,Reference miss,AUD-06-04_reference_miss,foreign key lookup failed against target dimension,Destination load deduplicates on the wrong business key,Downstream validation file cannot be certified,Asset Accounting,Open,8
DQ-051,MAP-06-06,Low,Row count variance,AUD-06-06_row_count_variance,count parity failed between load-ready file and target table,Transformation rule handles nulls differently than STTM,Destination report would overstate converted volume,Asset Accounting,In review,4
DQ-052,MAP-06-06,Low,Reference miss,AUD-06-06_reference_miss,foreign key lookup failed against target dimension,Transformation rule handles nulls differently than STTM,Downstream validation file cannot be certified,Asset Accounting,In review,5
DQ-053,MAP-06-07,Low,Row count variance,AUD-06-07_row_count_variance,count parity failed between load-ready file and target table,Business rule not approved in mapping workbook,Downstream validation file cannot be certified,Asset Accounting,Ready for retest,1
DQ-054,MAP-06-07,Low,Null drift,AUD-06-07_null_drift,target required field has higher null rate than approved mapping,Business rule not approved in mapping workbook,Destination report would overstate converted volume,Asset Accounting,Open,4
DQ-055,MAP-06-08,Low,Mapping ambiguity,AUD-06-08_mapping_ambiguity,business rule needs stakeholder decision before sign-off,Destination load deduplicates on the wrong business key,Development team needs clarified transformation rule,Asset Accounting,Ready for retest,13
