batch_id,mapping_id,load_ready_rows,target_rows,row_count_delta,matched_keys_pct,value_match_pct,null_delta_pct,duplicate_keys,orphan_records,amount_variance_usd,reconciliation_score,recon_status,blocker_reason,audit_query_id
CONV-UAT-04,MAP-05-06,212497,212348,-149,96.83,96.23,0.27,31,61,0,95.8,Pass,None,AUD-05-06
CONV-UAT-04,MAP-05-07,191903,191857,-46,99.5,97.38,0.13,11,0,0,98.4,Pass,None,AUD-05-07
CONV-UAT-04,MAP-05-08,95504,95555,51,97.39,97.71,0.44,5,21,0,96.7,Pass,None,AUD-05-08
CONV-UAT-04,MAP-06-01,167187,166997,-190,96.39,98.57,1.64,23,22,0,93.9,Watch,Monitor variance before sign-off,AUD-06-01
CONV-UAT-04,MAP-06-02,189627,189729,102,97.53,98.95,0.42,3,32,0,97.2,Pass,None,AUD-06-02
CONV-UAT-04,MAP-06-03,210927,210433,-494,98.2,98.32,0.03,10,6,0,94.6,Pass,None,AUD-06-03
CONV-UAT-04,MAP-06-04,214906,215029,123,98.82,99.3,0.34,0,52,0,97.7,Pass,None,AUD-06-04
CONV-UAT-04,MAP-06-05,178241,178294,53,98.94,98.26,0,10,16,0,98.5,Pass,None,AUD-06-05
CONV-UAT-04,MAP-06-06,147598,147992,394,96.32,97.48,0.9,7,62,0,91.6,Watch,Monitor variance before sign-off,AUD-06-06
CONV-UAT-04,MAP-06-07,222058,221404,-654,96.19,97.42,1.79,20,52,0,90.0,Watch,Monitor variance before sign-off,AUD-06-07
CONV-UAT-04,MAP-06-08,49813,49835,22,94.69,97.67,0.6,2,9,0,95.7,Pass,None,AUD-06-08
